Name	Map	K4_1	K5_1	K6_1	K4_2	K5_2	K6_2	K4_3	K5_3	K6_3	K4_4	K5_4	K6_4	K4_5	K5_5	K6_5	K4_6	K5_6	K6_6	K4_7	K5_7	K6_7	K4_8	K5_8	K6_8	K4_9	K5_9	K6_9	K4_10	K5_10	K6_10	Show Resp.	Comment
RAND_00089	FALSE	5	5	5	3	3	3	3	3	3	7	7	7	3	3	3	9	9	9	9	9	9	11	11	11	11	11	11	9	9	9	FALSE	
RAND_00090	FALSE	5	5	5	9	9	9	1	1	1	3	3	3	7	7	7	3	3	3	3	3	3	11	11	11	9	9	9	9	9	9	FALSE	
RAND_00091	FALSE	5	5	5	5	5	5	5	5	5	7	7	7	1	1	1	9	9	9	3	3	3	3	3	3	3	3	3	9	9	9	FALSE	
RAND_00092	FALSE	5	5	5	9	9	9	5	5	5	1	1	1	5	5	5	1	1	1	3	3	3	1	1	1	3	3	3	7	7	7	FALSE	
RAND_00093	FALSE	5	5	5	3	3	3	9	9	9	7	7	7	7	7	7	5	5	5	11	11	11	1	1	1	5	5	5	11	11	11	FALSE	
RAND_00094	FALSE	5	5	5	5	5	5	5	5	5	1	1	1	3	3	3	9	9	9	5	5	5	11	11	11	7	7	7	11	11	11	FALSE	
RAND_00095	FALSE	5	5	5	1	1	1	5	5	5	5	5	5	5	5	5	7	7	7	1	1	1	9	9	9	11	11	11	11	11	11	FALSE	
RAND_00096	FALSE	5	5	5	3	3	3	3	3	3	7	7	7	9	9	9	11	11	11	9	9	9	7	7	7	7	7	7	9	9	9	FALSE	
RAND_00097	FALSE	5	5	5	9	9	9	3	3	3	5	5	5	9	9	9	3	3	3	11	11	11	11	11	11	1	1	1	9	9	9	FALSE	
RAND_00098	FALSE	5	5	5	9	9	9	5	5	5	11	11	11	3	3	3	7	7	7	9	9	9	1	1	1	7	7	7	11	11	11	FALSE	
RAND_00099	FALSE	5	5	5	1	1	1	11	11	11	1	1	1	3	3	3	1	1	1	3	3	3	7	7	7	1	1	1	7	7	7	FALSE	
RAND_00100	FALSE	5	5	5	3	3	3	5	5	5	1	1	1	7	7	7	9	9	9	1	1	1	9	9	9	1	1	1	5	5	5	FALSE	
RAND_00101	FALSE	5	5	5	5	5	5	1	1	1	5	5	5	5	5	5	3	3	3	7	7	7	11	11	11	1	1	1	9	9	9	FALSE	
RAND_00102	FALSE	5	5	5	11	11	11	1	1	1	9	9	9	9	9	9	11	11	11	11	11	11	9	9	9	1	1	1	5	5	5	FALSE	
RAND_00103	FALSE	5	5	5	7	7	7	1	1	1	11	11	11	11	11	11	1	1	1	1	1	1	5	5	5	9	9	9	11	11	11	FALSE	
RAND_00104	FALSE	5	5	5	5	5	5	9	9	9	5	5	5	5	5	5	11	11	11	5	5	5	1	1	1	3	3	3	3	3	3	FALSE	
RAND_00105	FALSE	5	5	5	1	1	1	9	9	9	1	1	1	7	7	7	7	7	7	5	5	5	1	1	1	11	11	11	3	3	3	FALSE	
RAND_00106	FALSE	5	5	5	5	5	5	1	1	1	1	1	1	9	9	9	3	3	3	3	3	3	5	5	5	9	9	9	11	11	11	FALSE	
RAND_00107	FALSE	5	5	5	5	5	5	5	5	5	9	9	9	1	1	1	9	9	9	3	3	3	3	3	3	3	3	3	11	11	11	FALSE	
RAND_00108	FALSE	5	5	5	7	7	7	1	1	1	3	3	3	11	11	11	5	5	5	1	1	1	7	7	7	1	1	1	9	9	9	FALSE	
RAND_00109	FALSE	5	5	5	5	5	5	3	3	3	9	9	9	11	11	11	7	7	7	11	11	11	3	3	3	9	9	9	5	5	5	FALSE	
RAND_00110	FALSE	5	5	5	7	7	7	7	7	7	3	3	3	1	1	1	3	3	3	1	1	1	1	1	1	3	3	3	7	7	7	FALSE	
RAND_00111	FALSE	5	5	5	1	1	1	1	1	1	7	7	7	3	3	3	9	9	9	3	3	3	3	3	3	7	7	7	3	3	3	FALSE	
RAND_00112	FALSE	5	5	5	9	9	9	7	7	7	5	5	5	1	1	1	11	11	11	3	3	3	5	5	5	9	9	9	11	11	11	FALSE	
RAND_00113	FALSE	5	5	5	7	7	7	3	3	3	5	5	5	11	11	11	3	3	3	9	9	9	1	1	1	1	1	1	9	9	9	FALSE	
RAND_00114	FALSE	5	5	5	9	9	9	1	1	1	3	3	3	3	3	3	3	3	3	1	1	1	11	11	11	7	7	7	11	11	11	FALSE	
RAND_00115	FALSE	5	5	5	9	9	9	1	1	1	11	11	11	11	11	11	3	3	3	11	11	11	3	3	3	3	3	3	9	9	9	FALSE	
RAND_00116	FALSE	5	5	5	11	11	11	3	3	3	3	3	3	1	1	1	9	9	9	3	3	3	1	1	1	7	7	7	3	3	3	FALSE	
RAND_00117	FALSE	5	5	5	7	7	7	11	11	11	9	9	9	11	11	11	11	11	11	11	11	11	9	9	9	3	3	3	11	11	11	FALSE	
RAND_00118	FALSE	5	5	5	9	9	9	1	1	1	9	9	9	1	1	1	7	7	7	11	11	11	11	11	11	9	9	9	7	7	7	FALSE	
RAND_00119	FALSE	5	5	5	3	3	3	5	5	5	3	3	3	5	5	5	3	3	3	1	1	1	3	3	3	7	7	7	5	5	5	FALSE	
RAND_00120	FALSE	5	5	5	3	3	3	3	3	3	1	1	1	11	11	11	9	9	9	1	1	1	9	9	9	5	5	5	11	11	11	FALSE	
RAND_00121	FALSE	5	5	5	11	11	11	7	7	7	5	5	5	9	9	9	7	7	7	11	11	11	5	5	5	7	7	7	3	3	3	FALSE	
RAND_00122	FALSE	5	5	5	9	9	9	9	9	9	7	7	7	3	3	3	9	9	9	9	9	9	1	1	1	9	9	9	11	11	11	FALSE	
RAND_00123	FALSE	5	5	5	7	7	7	1	1	1	1	1	1	1	1	1	3	3	3	9	9	9	7	7	7	3	3	3	3	3	3	FALSE	
RAND_00124	FALSE	5	5	5	9	9	9	9	9	9	3	3	3	11	11	11	11	11	11	7	7	7	9	9	9	5	5	5	1	1	1	FALSE	
RAND_00125	FALSE	5	5	5	5	5	5	11	11	11	1	1	1	9	9	9	1	1	1	3	3	3	11	11	11	7	7	7	1	1	1	FALSE	
RAND_00126	FALSE	5	5	5	9	9	9	1	1	1	3	3	3	5	5	5	1	1	1	11	11	11	7	7	7	5	5	5	3	3	3	FALSE	
RAND_00127	FALSE	5	5	5	7	7	7	3	3	3	5	5	5	11	11	11	3	3	3	11	11	11	1	1	1	3	3	3	9	9	9	FALSE	
RAND_00128	FALSE	5	5	5	11	11	11	9	9	9	7	7	7	3	3	3	5	5	5	1	1	1	3	3	3	3	3	3	3	3	3	FALSE	
RAND_00129	FALSE	5	5	5	11	11	11	3	3	3	9	9	9	9	9	9	9	9	9	11	11	11	9	9	9	5	5	5	9	9	9	FALSE	
RAND_00130	FALSE	5	5	5	7	7	7	1	1	1	5	5	5	3	3	3	3	3	3	9	9	9	9	9	9	3	3	3	9	9	9	FALSE	
RAND_00131	FALSE	5	5	5	7	7	7	11	11	11	3	3	3	3	3	3	7	7	7	11	11	11	11	11	11	7	7	7	11	11	11	FALSE	
RAND_00132	FALSE	5	5	5	1	1	1	5	5	5	9	9	9	7	7	7	3	3	3	7	7	7	9	9	9	11	11	11	9	9	9	FALSE	
RAND_00133	FALSE	5	5	5	3	3	3	5	5	5	3	3	3	9	9	9	11	11	11	5	5	5	9	9	9	3	3	3	9	9	9	FALSE	
RAND_00134	FALSE	5	5	5	1	1	1	5	5	5	1	1	1	3	3	3	11	11	11	9	9	9	5	5	5	5	5	5	1	1	1	FALSE	
RAND_00135	FALSE	5	5	5	9	9	9	3	3	3	11	11	11	5	5	5	7	7	7	1	1	1	3	3	3	9	9	9	1	1	1	FALSE	
RAND_00136	FALSE	5	5	5	7	7	7	7	7	7	7	7	7	9	9	9	11	11	11	3	3	3	9	9	9	9	9	9	5	5	5	FALSE	
RAND_00137	FALSE	5	5	5	9	9	9	9	9	9	1	1	1	3	3	3	5	5	5	5	5	5	3	3	3	3	3	3	11	11	11	FALSE	
RAND_00138	FALSE	5	5	5	9	9	9	3	3	3	5	5	5	7	7	7	11	11	11	9	9	9	9	9	9	5	5	5	9	9	9	FALSE	
RAND_00139	FALSE	5	5	5	5	5	5	11	11	11	1	1	1	9	9	9	1	1	1	3	3	3	7	7	7	7	7	7	5	5	5	FALSE	
RAND_00140	FALSE	5	5	5	1	1	1	9	9	9	11	11	11	5	5	5	7	7	7	3	3	3	5	5	5	7	7	7	5	5	5	FALSE	
RAND_00141	FALSE	5	5	5	3	3	3	1	1	1	3	3	3	9	9	9	3	3	3	3	3	3	1	1	1	5	5	5	9	9	9	FALSE	
RAND_00142	FALSE	5	5	5	9	9	9	7	7	7	5	5	5	7	7	7	7	7	7	1	1	1	11	11	11	3	3	3	11	11	11	FALSE	
RAND_00143	FALSE	5	5	5	11	11	11	3	3	3	7	7	7	3	3	3	1	1	1	5	5	5	11	11	11	3	3	3	9	9	9	FALSE	
RAND_00144	FALSE	5	5	5	3	3	3	11	11	11	9	9	9	11	11	11	11	11	11	5	5	5	5	5	5	9	9	9	9	9	9	FALSE	
RAND_00145	FALSE	5	5	5	5	5	5	7	7	7	5	5	5	1	1	1	1	1	1	9	9	9	11	11	11	1	1	1	11	11	11	FALSE	
RAND_00146	FALSE	5	5	5	7	7	7	5	5	5	3	3	3	5	5	5	11	11	11	9	9	9	3	3	3	11	11	11	5	5	5	FALSE	
RAND_00147	FALSE	5	5	5	3	3	3	5	5	5	1	1	1	1	1	1	5	5	5	7	7	7	11	11	11	7	7	7	5	5	5	FALSE	
RAND_00148	FALSE	5	5	5	3	3	3	11	11	11	11	11	11	3	3	3	3	3	3	9	9	9	3	3	3	7	7	7	9	9	9	FALSE	
RAND_00149	FALSE	5	5	5	1	1	1	1	1	1	5	5	5	7	7	7	1	1	1	9	9	9	11	11	11	9	9	9	1	1	1	FALSE	
RAND_00150	FALSE	5	5	5	11	11	11	5	5	5	7	7	7	11	11	11	5	5	5	11	11	11	5	5	5	1	1	1	1	1	1	FALSE	
RAND_00151	FALSE	5	5	5	9	9	9	1	1	1	7	7	7	1	1	1	7	7	7	3	3	3	7	7	7	3	3	3	7	7	7	FALSE	
RAND_00152	FALSE	5	5	5	7	7	7	9	9	9	5	5	5	11	11	11	3	3	3	5	5	5	5	5	5	1	1	1	1	1	1	FALSE	
RAND_00153	FALSE	5	5	5	5	5	5	11	11	11	3	3	3	5	5	5	7	7	7	9	9	9	1	1	1	3	3	3	9	9	9	FALSE	
RAND_00154	FALSE	5	5	5	5	5	5	9	9	9	5	5	5	5	5	5	9	9	9	3	3	3	7	7	7	11	11	11	7	7	7	FALSE	
RAND_00155	FALSE	5	5	5	9	9	9	5	5	5	11	11	11	11	11	11	1	1	1	1	1	1	5	5	5	5	5	5	5	5	5	FALSE	
RAND_00156	FALSE	5	5	5	9	9	9	5	5	5	1	1	1	9	9	9	11	11	11	5	5	5	1	1	1	1	1	1	11	11	11	FALSE	
RAND_00157	FALSE	5	5	5	3	3	3	5	5	5	5	5	5	3	3	3	9	9	9	1	1	1	1	1	1	5	5	5	7	7	7	FALSE	
RAND_00158	FALSE	5	5	5	9	9	9	1	1	1	9	9	9	3	3	3	3	3	3	3	3	3	3	3	3	7	7	7	5	5	5	FALSE	
RAND_00159	FALSE	5	5	5	3	3	3	3	3	3	7	7	7	3	3	3	3	3	3	11	11	11	5	5	5	7	7	7	11	11	11	FALSE	
RAND_00160	FALSE	5	5	5	5	5	5	9	9	9	11	11	11	5	5	5	5	5	5	5	5	5	9	9	9	9	9	9	3	3	3	FALSE	
RAND_00161	FALSE	5	5	5	5	5	5	11	11	11	1	1	1	7	7	7	1	1	1	3	3	3	1	1	1	9	9	9	7	7	7	FALSE	
RAND_00162	FALSE	5	5	5	9	9	9	3	3	3	11	11	11	3	3	3	7	7	7	7	7	7	3	3	3	11	11	11	5	5	5	FALSE	
RAND_00163	FALSE	5	5	5	11	11	11	7	7	7	11	11	11	5	5	5	1	1	1	5	5	5	7	7	7	3	3	3	11	11	11	FALSE	
RAND_00164	FALSE	5	5	5	3	3	3	1	1	1	11	11	11	1	1	1	5	5	5	1	1	1	9	9	9	1	1	1	3	3	3	FALSE	
RAND_00165	FALSE	5	5	5	5	5	5	3	3	3	7	7	7	11	11	11	11	11	11	5	5	5	11	11	11	5	5	5	9	9	9	FALSE	
RAND_00166	FALSE	5	5	5	3	3	3	5	5	5	1	1	1	3	3	3	5	5	5	9	9	9	7	7	7	3	3	3	5	5	5	FALSE	
RAND_00167	FALSE	5	5	5	3	3	3	7	7	7	11	11	11	9	9	9	11	11	11	9	9	9	9	9	9	7	7	7	1	1	1	FALSE	
RAND_00168	FALSE	5	5	5	5	5	5	9	9	9	5	5	5	5	5	5	1	1	1	7	7	7	9	9	9	7	7	7	1	1	1	FALSE	
RAND_00169	FALSE	5	5	5	9	9	9	1	1	1	7	7	7	9	9	9	7	7	7	5	5	5	3	3	3	5	5	5	3	3	3	FALSE	
RAND_00170	FALSE	5	5	5	1	1	1	3	3	3	5	5	5	7	7	7	3	3	3	1	1	1	1	1	1	1	1	1	5	5	5	FALSE	
RAND_00171	FALSE	5	5	5	9	9	9	9	9	9	3	3	3	3	3	3	9	9	9	5	5	5	3	3	3	11	11	11	7	7	7	FALSE	
RAND_00172	FALSE	5	5	5	1	1	1	1	1	1	11	11	11	3	3	3	5	5	5	3	3	3	9	9	9	7	7	7	1	1	1	FALSE	
RAND_00173	FALSE	5	5	5	11	11	11	7	7	7	3	3	3	9	9	9	9	9	9	11	11	11	5	5	5	9	9	9	11	11	11	FALSE	
RAND_00174	FALSE	5	5	5	5	5	5	7	7	7	5	5	5	3	3	3	7	7	7	7	7	7	3	3	3	5	5	5	9	9	9	FALSE	
RAND_00175	FALSE	5	5	5	11	11	11	7	7	7	7	7	7	3	3	3	7	7	7	7	7	7	9	9	9	7	7	7	1	1	1	FALSE	
